id,project_id,fixed_errors_date,is_completed
1,318,,0
2,319,,0
3,320,,0
4,321,,0
5,322,,0
6,323,,0
7,324,,0
8,325,,0
9,326,,0
10,327,,0
11,328,,0
12,329,,0
13,330,,0
14,331,,0
15,332,,0
16,333,,0
17,334,,0
18,335,,0
19,336,,0
20,337,,0
21,338,,0
22,339,,0
23,340,,0
24,341,,0
25,342,,0
26,343,,0
27,344,,0
28,345,,0
29,346,,0
30,347,,0
31,348,,0
32,349,,0
33,350,,0
34,351,,0
35,352,,0
36,353,,0
37,354,,0
38,355,,0
39,356,,0
40,357,,0
41,358,,0
42,359,,0
43,360,,0
44,361,,0
45,362,,0
46,363,,0
47,364,,0
48,365,,0
49,366,,0
50,367,,0
51,368,,0
52,369,,0
53,370,,0
54,371,,0
55,372,,0
56,373,,0
57,374,,0
58,375,,0
59,376,,0
60,377,,0
61,378,,0
62,379,,0
63,380,,0
64,381,,0
65,382,,0
66,383,,0
67,384,,0
68,385,,0
69,386,,0
70,387,,0
71,388,,0
72,389,,0
73,390,,0
74,391,,0
75,392,,0
76,393,,0
77,394,,0
78,395,,0
79,396,,0
80,397,,0
81,398,,0
82,399,,0
83,400,,0
84,401,,0
85,402,,0
86,403,,0
87,404,,0
88,405,,0
89,406,,0
90,407,,0
91,408,,0
92,409,,0
93,410,,0
94,411,,0
95,412,,0
96,413,,0
97,414,,0
98,415,,0
99,416,,0
100,417,,0
101,418,,0
102,419,,0
103,420,,0
104,421,,0
105,422,,0
106,423,,0
107,424,,0
108,425,,0
109,426,,0
110,427,,0
111,428,,0
112,429,,0
113,430,,0
114,431,,0
115,432,,0
116,433,,0
117,434,,0
118,435,,0
119,436,,0
120,437,,0
121,438,2025-10-14,0
122,439,,0
123,440,,0
124,441,,0
125,442,,0
126,443,,0
127,444,,0
128,445,,0
129,446,,0
130,447,,0
131,448,,0
132,449,,0
133,450,,0
134,451,,0
135,452,,0
136,453,,0
137,454,,0
138,455,,0
139,456,,0
140,457,,0
141,458,,0
142,459,,0
143,460,,0
144,461,,0
145,462,,0
